Country;GDP per capita
Belgium;133,9
Bulgaria;37,4
Czechia;72,9
Denmark;181,8
Germany;130,5
Estonia;76,3
Ireland;279,2
Greece;55,1
Spain;79,4
France;108,7
Croatia;49,4
Italy;93,8
Cyprus;85,9
Latvia;57,4
Lithuania;67,2
Luxembourg;333,8
Hungary;49,1
Malta;92,4
Netherlands;152,8
Austria;139,4
Poland;48,9
Portugal;66,4
Romania;42,1
Slovenia;76,3
Slovakia;56,4
Finland;135,9
Sweden;151,1
Iceland;201,6
Liechtenstein;487,8
Norway;292,1
Switzerland;250,0
United Kingdom;:
Bosnia and Herzegovina;:
Montenegro;27,1
North Macedonia;:
Albania;:
Serbia;25,6
TŸrkiye;28,6
Kosovo*;:
